Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
Jan-16,8.3,Nan,Nan,Nan,107.03,26,8.7,5576
Feb-16,8,0.027,0.538,0.067,116.41,27,7.8,3129
Mar-16,8.1,0.169,0.352,0.03,121.62,26,7.6,41716
Apr-16,8.3,0.088,0.128,0.103,81.66,31,8.6,64319
May-16,8.2,0.074,0.019,0.069,53.12,30,6.9,4578
Jun-16,8.9,0.067,0.77,0.12,61.33,32,7.6,26173
Jul-16,8.1,0.073,0.001,0.176,25.37,31,4,4287
Aug-16,8.9,0.07,0.301,0.008,82.7,29,6.5,40474
Sep-16,8.7,0.001,0.069,0.072,66.89,28,8.7,4520
Oct-16,7.6,0.181,0.035,0.089,47.52,28,5.9,24983
Nov-16,Nan,0.155,0.184,0.208,47.87,28,6.8,32644
Dec-16,9,0.001,0.028,0.111,15.32,29,9.6,61731
Jan-17,8.6,0.001,0.379,0.108,35.01,28,8.2,2870
Feb-17,8.4,0.034,0.509,0.131,61.85,27,8.8,36676
Mar-17,8.1,0.023,0.205,0.079,96.59,28,9.1,36036
Apr-17,7.8,0.062,0.09,0.268,95.21,27,6.9,20728
May-17,8.3,0.022,0.013,0.02,28.75,36,7.9,11383
Jun-17,8.3,0.025,0.001,0.151,107.38,32,8.7,12673
Jul-17,7.9,0.056,0.019,0.1,63.59,31.5,7.4,20097
Aug-17,8.7,0.023,0.026,0.107,124.4,30,9.8,3522
Sep-17,8.8,0.001,0.001,0.235,282.43,31,10.4,430002
Oct-17,7.7,0.043,0.217,0.18,67.59,29.5,5.6,17482
Nov-17,7.7,0.036,0.334,0.111,35.18,27,6.2,59853
Dec-17,7.7,0.007,0.046,0.096,52.3,29.3,6.2,1316
Jan-18,8.3,0.006,0.396,0.133,56.55,27.2,8.6,1118
Feb-18,8.7,0.007,0.407,0.174,77.75,28,9.7,306
Mar-18,8.3,0.017,0.242,0.14,64.81,28,8.2,1183
Apr-18,8.6,0.025,0.05,0.149,65.93,28,8.4,1953
