Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
Jan-16,8.8,Nan,Nan,Nan,97.7,30,8.4,5620
Feb-16,8.2,0.008,0.285,0.04,128.57,27,8.3,3899
Mar-16,8.2,0.027,0.559,0.003,118.15,26,8.1,60359
Apr-16,8.3,0.081,0.102,0.087,55.6,30,8.1,115769
May-16,8.3,0.054,0.036,0.067,90.35,31.5,7.7,6203
Jun-16,9,0.042,0.165,0.087,31.97,31,7.7,43254
Jul-16,8.7,0.039,0.001,0.074,69.76,31,7.5,13943
Aug-16,8.8,0.033,0.001,0.009,68.2,28,7.4,19158
Sep-16,9,0.011,0.037,0.036,62.55,28,10.2,26911
Oct-16,7.7,0.22,0.055,0.121,74.62,28,5.8,1085
Nov-16,NaN,0.002,0.14,0.168,191.21,27,9.8,207649
Dec-16,8.5,0.001,0.014,0.075,139.95,28,8.5,186136
Jan-17,8.4,0.001,0.001,0.088,32.49,28.9,7.7,3326
Feb-17,7.9,0.001,2.136,0.165,51.17,27,7.8,16228
Mar-17,8.5,0.034,0.285,0.066,111.37,30,9.6,47305
Apr-17,7.8,0.047,0.094,0.236,107.03,27,6.9,92855
May-17,8,0.043,0.001,0.078,8.69,36,7,14132
Jun-17,8.4,0.003,0.001,0.143,56.73,32,9,17210
Jul-17,8.3,0.103,0.02,0.12,37.41,31.5,8,14095
Aug-17,8.5,0.031,0.001,0.089,119.1,30,9.4,1988
Sep-17,6.9,0.004,0.001,0.352,586.06,31,10.9,380718
Oct-17,9.3,0.038,0.023,0.18,301.99,30,7.8,14910
Nov-17,8.2,0.028,0.182,0.077,41.26,27,7.5,28071
Dec-17,8.2,0.004,0.153,0.119,24.93,28,7.5,8495
Jan-18,8.3,0.027,0.402,0.153,42.22,28,8.6,3827
Feb-18,8.7,0.001,0.367,0.166,67.85,28,9.7,833
Mar-18,8.2,0.022,0.222,0.118,70.19,28,8.7,616
Apr-18,8.5,0.008,0.05,0.138,63.5,28,8.6,6881
May-18,8.5,0.041,0.05,0.116,10.34,31.9,8.4,73017
Jun-18,8.7,0.005,0.05,0.14,38.75,32.5,8.2,15137
Jul-18,8.8,0.001,0.05,0.082,91.48,29.4,8.2,57635
Aug-18,8.6,0.008,0.092,0.193,23.11,28.5,8.2,38183
Sep-18,9,0.001,0.844,0.078,90.26,29.5,10.7,93309
Oct-18,8.8,0.021,0.05,0.099,32.92,30.9,8.4,11869
Nov-18,8.3,0.001,0.05,0.083,119.45,29.3,7.2,27743
Dec-18,8.8,0.028,0.085,0.087,43.26,27.7,8.4,73059
Jan-19,7.8,0.05,Nan,0.15,25.58,26,7.6,8173
Feb-19,9,0.01,0.05,0.04,18.59,26.8,8.3,26502
Mar-19,8.3,0.04,0.05,0.05,13.9,28,7.7,1573
Apr-19,8.5,0.012,0.05,0.067,48.65,28,7.6,3193
May-19,9,0.1,0.05,0.085,92.35,28,7.4,8306
Jun-19,9.4,0.034,0.05,0.143,58.12,33,9.8,77115
Jul-19,8.7,0.06,0.026,0.122,131.61,29,8.1,10875
Aug-19,8.5,0.053,0.05,0.214,26.76,28,7.1,6376
Sep-19,9.1,0.016,0.05,0.075,29.36,25,8.4,7898
Oct-19,8.6,0.005,0.05,0.082,16.42,29.5,7.7,4230
Nov-19,9.2,0.014,0.05,0.069,32.75,33,10,23683
Dec-19,7.8,0.021,0.178,0.085,6.86,25,7.2,2636
Jan-20,8.3,0.05,0.276,0.063,31.97,28,8.3,8247
Feb-20,8.6,0.03,0.05,0.069,86.96,25.4,8,70352
Mar-20,8.7,0.055,0.05,0.05,118.85,28,8.6,21436
Apr-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
May-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Jun-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Jul-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Aug-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Sep-20,9,0.005,0.05,0.03,22.76,31.2,8.2,83932
Oct-20,8.8,0.011,0.05,0.042,88.09,32.2,7.3,38080
Nov-20,7.9,0.005,Nan,0.047,55.08,24,7.2,15499
Dec-20,8.1,0.005,Nan,0.081,36.92,24,7.3,1733
Jan-21,8.4,0.028,Nan,0.043,69.97,24,7.9,5693
Feb-21,8.4,0.03,Nan,0.055,105.03,26,8.1,6893
Mar-21,8.5,0.014,Nan,0.055,308.67,25,9.6,193339
Apr-21,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
May-21,8.2,Nan,0.05,0.078,62.29,30,7.1,129804
Jun-21,8.9,Nan,0.05,0.095,140.56,31,9.6,164530
Jul-21,8.8,0.05,0.05,0.114,93.3,30,7.1,22696
Aug-21,8.3,0.12,0.32,0.15,71.53,28,7.2,17845
Sep-21,9,0.04,0.24,0.1,556.96,30,6.9,418899
Oct-21,7.6,0.05,0.05,0.13,43.65,30,6.9,8624
Nov-21,8.2,0.005,0.18,0.17,114.85,30,7.3,41040
Dec-21,8.2,0.015,0.29,0.22,43.74,26,7.6,2896
Jan-22,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Feb-22,8.3,0.2,0.636,0.14,143.26,26,7.8,539913
Mar-22,8.1,0.01,0.005,0.13,88.96,26.8,7.3,55260
Apr-22,8.3,0.01,0.01,0.12,55.6,29,7.6,16325
May-22,8.1,0.01,0.07,0.13,40.22,29,6.6,3958
Jun-22,8.9,0.01,0.01,0.2,56.56,31,7.8,19487
Jul-22,8.3,0.11,0.005,0.21,100.25,30,7.6,30196
Aug-22,8.5,0.02,0.05,0.22,106.25,30,7.8,41201
Sep-22,8,0.03,0.05,0.15,88.96,30,7.7,5073
Oct-22,7.7,0.005,0.05,0.1,80.62,29,6.8,25317
Nov-22,7.6,0.02,0.64,0.13,100.34,29,7.2,2699
Dec-22,7.6,0.02,0.54,0.14,16.33,29,6.6,2933
Jan-23,7.7,0,0.729,0.175,22.07,23,7.6,1681
Feb-23,7.9,0,0.75,0.23,34.92,26,7.8,2980
Mar-23,8,0,0.64,0.24,36.57,25,7.8,807
Apr-23,8,0.005,1,0.24,69.07,26,7.6,3371
May-23,8.7,0.005,0.2,0.23,128.92,30,8.3,28993
Jun-23,8.2,0.02,0.05,0.2,83.66,30,7.3,4241
Jul-23,8.4,0,0,0.1,24.5,30,7.1,6337
Aug-23,8.5,0,0.1,0.1,55.43,29,7.8,20009
Sep-23,8.1,0,0.1,0.2,47.52,29,5.5,19802
Oct-23,8.1,0.04,0.2,0.3,55.51,30,6,17064
Nov-23,8.2,0.02,0,0.36,36.21,29,7,21339
Dec-23,8.1,Nan,0,0.1,19.89,28,8,19336
Jan-24,7.9,Nan,0,0.09,NaN,NaN,7,NaN
Feb-24,8.6,0.03,0,0.07,NaN,NaN,8,NaN
Mar-24,8.4,0.04,0,0.08,NaN,NaN,8,NaN
Apr-24,8.6,0.04,0,0.079,NaN,NaN,7.4,NaN
May-24,8.5,0.01,0,0.081,NaN,NaN,7.3,NaN
Jun-24,8.4,0.07,0.1,0.082,NaN,NaN,7,NaN
Jul-24,8.9,0,0,0.16,NaN,NaN,7,NaN
Aug-24,8.7,0.1,0.3,0.47,NaN,NaN,7,NaN
Sep-24,7.6,0.4,0,0.1,NaN,NaN,6,NaN
Oct-24,7.8,0.1,0,0.029,NaN,NaN,6,NaN
Nov-24,7.6,0.04,0.5,0.043,NaN,NaN,6,NaN
Dec-24,7.5,0.09,0.5,0.072,NaN,NaN,6,NaN
