Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
Jan-16,7.9,NaN,NaN,NaN,47.95,28,7.7,67004
Feb-16,8.3,0.014,0.45,0.052,105.99,26,8,2078
Mar-16,8.1,0.092,0.192,0.016,74.71,26,7.9,61956
Apr-16,8.6,0.058,0.088,0.089,46.91,30,8.3,42025
May-16,8.1,0.079,0.051,0.066,45.17,31,7.5,2089
Jun-16,9.3,0.047,0.372,0.073,55.97,31,8.9,65904
Jul-16,8.8,0.028,0.001,0.134,46.13,31,7.8,42655
Aug-16,8.9,0.025,0.037,0.005,61.07,28,7.3,12369
Sep-16,9.4,0.005,0.028,0.061,121.62,28,12.1,68416
Oct-16,8.8,0.093,0.091,0.074,78.88,28,7.6,75878
Nov-16,NaN,0.045,0.127,0.244,79.84,27,7.9,24353
Dec-16,8.8,0.013,0.089,0.013,74.88,28,7.7,194129
Jan-17,8.7,0.001,0.19,0.057,73.32,26.5,9.6,42902
Feb-17,8.1,0.04,2.592,0.145,89.22,26,7.7,3549
Mar-17,8.3,0.023,0.221,0.072,56.12,28,8.5,274
Apr-17,7.9,0.051,0.004,0.169,96.43,27,7,27510
May-17,8.2,0.016,0.001,0.098,12.42,37,7.6,2556
Jun-17,8.5,0.001,0.001,0.132,49.47,33,10.2,11751
Jul-17,8.1,0.048,0.012,0.15,81.92,32,8.2,28221
Aug-17,9.2,0.03,0.001,0.105,193.47,32,24.2,38204
Sep-17,8.3,0.001,0.001,0.252,312.31,31,8.7,77709
Oct-17,8.2,0.031,0.001,0.131,383.81,31,7.8,47712
Nov-17,7.9,0.028,0.264,0.107,44.22,28,7.4,1633
Dec-17,7.9,0.023,0.052,0.104,45.52,29.3,7.4,4608
Jan-18,8.2,0.006,0.378,0.129,72.63,26.9,8.4,773
Feb-18,8.7,0.001,0.352,0.167,21.46,29,9.2,328
Mar-18,8,0.01,0.359,0.168,80.09,28,8.2,2303
Apr-18,8.3,0.011,0.05,0.158,61.42,27,7.9,3766
May-18,8.3,0.041,0.05,0.115,14.33,30.8,7.2,6817
Jun-18,8.9,0.008,0.137,0.18,10.42,35,8.6,11650
Jul-18,8.9,0.046,0.05,0.088,76.89,29.1,8,7546
Aug-18,8.9,0.05,0.103,0.148,72.43,32.5,7.8,24370
Sep-18,8.8,0.002,1.289,0.078,99.56,26,8.6,943
Oct-18,8.7,0.025,0.05,0.134,30.92,30.4,7.5,45764
Nov-18,8.1,0.016,0.05,0.061,106.98,27.8,6.7,23924
Dec-18,8.8,0.02,0.07,0.075,41.7,26.6,8.4,12119
Jan-19,8.1,0.05,NaN,0.05,66.8,21,8.2,6167
Feb-19,9.2,0.05,0.05,0.04,18.59,26,8.3,22519
Mar-19,8.9,0.03,0.05,0.07,5.21,22,8.9,2954
Apr-19,8.1,0.005,0.05,0.065,38.22,28.6,7.3,40
May-19,8.6,0.079,0.05,0.076,73.67,29,6.6,5116
Jun-19,9.3,0.028,0.05,0.177,76.79,32,8.1,30417
Jul-19,8.9,0.043,0.079,0.209,124.4,28.5,7,10161
Aug-19,8.5,0.042,0.05,0.123,33.71,28.2,7.7,11308
Sep-19,8.9,0.05,0.05,0.064,14.69,27,7.4,2374
Oct-19,9.1,0.005,0.05,0.088,4.34,32,7.9,1260
Nov-19,8.7,0.027,0.05,0.089,8.03,30,8.4,4387
Dec-19,8.2,0.012,0.1,0.062,5.82,28,7.3,1950
Jan-20,8.3,0.095,0.241,0.083,43.52,26.6,7.1,29073
Feb-20,8.4,0.036,0.05,0.05,60.47,26,7.7,63254
Mar-20,8.8,0.04,0.05,0.024,88.35,26,7.8,23093
Apr-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jun-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jul-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aug-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sep-20,8.8,0.005,0.05,0.035,111.11,31,9.9,86790
Oct-20,8.3,0.019,0.05,0.068,70.63,30,6.8,42792
Nov-20,8,0.005,NaN,0.043,64.64,28,6.7,16155
Dec-20,8.4,0.005,NaN,0.041,54.82,28,8.3,16435
Jan-21,8.3,0.023,NaN,0.069,59.94,35,7.9,8654
Feb-21,8,0.045,NaN,0.054,64.72,25,7.7,37633
Mar-21,8.4,0.005,NaN,0.044,110.24,28,8.1,46259
Apr-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May-21,8.4,NaN,0.05,0.044,96.43,32,7.6,56676
Jun-21,9,NaN,0.05,0.078,94.95,33,8.3,149820
Jul-21,8.9,0.022,0.05,0.102,117.28,29,8.5,29870
Aug-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sep-21,9.6,0.07,0.13,0.1,929.3,31,9.1,702659
Oct-21,8,0.04,0.05,0.12,77.84,30,7.7,9740
Nov-21,8,0.005,0.27,0.18,33.36,28,7.2,6215
Dec-21,8.1,0.012,0.34,0.19,37.1,28,7.3,7304
Jan-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Feb-22,8.3,0.2,0.48,0.17,125.1,28,7.6,425200
Mar-22,8.2,0.23,0.005,0.13,54.64,27.5,7.3,1088
Apr-22,8.4,0.01,0.02,0.15,35.88,27,7.2,30265
May-22,8.5,0.01,0.01,0.15,58.21,30,7.9,32685
Jun-22,9.1,0.01,0.01,0.26,83.18,28,9.6,51386
Jul-22,9.4,0.02,0.005,0.28,240.99,31,9.5,82653
Aug-22,8.7,0.02,0.05,0.24,121.36,30,8.2,50326
Sep-22,8.7,0.04,0.05,0.05,106.25,30,9.2,12802
Oct-22,7.8,0.005,0.36,0.13,35.1,28,6.6,980
Nov-22,8,0.04,0.41,0.1,33.4,29,8.1,2420
Dec-22,7.8,0.005,1.18,0.13,28.58,27.5,7.2,2999
Jan-23,7.8,0,0.695,0.156,8.51,25,7.9,1043
Feb-23,7.9,0,0.74,0.21,27.71,28,7.8,1545
Mar-23,8,0,0.7,0.25,46.91,26,7.8,4403
Apr-23,8,0.005,1,0.28,62.9,29,7.6,1666
