Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
Jan-16,7.3,NaN,NaN,NaN,86.87,29,7.5,24491
Feb-16,8.4,0.051,0.331,0.057,116.41,27,8.9,3591
Mar-16,8,0.045,0.308,0.021,108.59,26,7.6,3997
Apr-16,8.7,0.152,0.065,0.125,74.71,29.5,8.6,2399
May-16,8.3,0.236,0.001,0.147,31.27,31,6.4,11314
Jun-16,9.4,0.063,0.065,0.108,184.87,33,14.4,344356
Jul-16,8.8,0.025,0.068,0.134,61.07,30,7.3,25413
Aug-16,8.1,0.313,0.382,0.235,36.14,34,5.5,18920
Sep-16,7.8,0.076,0.728,0.134,111.2,27,7.3,467
Oct-16,7.9,0.055,0.796,0.185,92.43,28,7.3,31232
Nov-16,NaN,0.065,0.131,0.031,103.21,28,7.8,117594
Dec-16,7.9,0.077,0.121,0.149,56.9,28,6.5,153731
Jan-17,8.4,0.001,0.223,0.087,41.35,27,7.9,9813
Feb-17,8,0.16,0.405,0.238,44.85,28,7.6,1010
Mar-17,7.9,0.009,0.267,0.069,85.44,27,8.9,26791
Apr-17,7.7,0.111,0.413,0.371,66.02,27,6.3,3106
May-17,8.3,0.143,0.001,0.288,52.96,36,7.3,13930
Jun-17,8.6,0.23,0.224,0.31,235.43,33,8.7,35392
Jul-17,8.2,0.058,0.031,0.11,180.35,31.5,8.7,18021
Aug-17,8.6,0.099,0.018,0.076,136.22,31.8,9.4,2884
Sep-17,8.2,0.001,0.206,0.164,153.59,31,7.3,53924
Oct-17,8.2,0.054,0.046,0.177,161.93,30,6.9,57616
Nov-17,7.8,0.131,0.361,0.208,85.22,27.5,6.6,336456
Dec-17,7.8,0.022,0.263,0.147,66.46,29,6.6,33098
Jan-18,7.9,0.221,0.666,0.175,51.95,27.2,7.8,2630
Feb-18,8.2,0.016,0.459,0.208,33.71,27.5,8.3,320
Mar-18,8.4,0.654,0.188,0.231,64.98,28,8.6,930
Apr-18,7.9,0.031,0.138,0.185,49.43,28,7.7,8767
May-18,8.5,0.022,0.109,0.135,9.47,30.4,8.6,4074
Jun-18,8.5,0.067,0.05,0.27,28.84,31,7.6,3292
Jul-18,9.7,0.043,0.05,0.111,71.67,29.9,9,24672
Aug-18,7.9,0.088,0.594,0.135,26.58,28.5,5.6,40838
Sep-18,9,0.011,0.05,0.061,363.22,31,10.5,412059
Oct-18,8.7,0.05,0.05,0.107,70.19,31.3,7.1,17427
Nov-18,8.4,0.033,0.02,0.081,168.79,29.1,6.9,3354
Dec-18,8.6,0.053,0.123,0.098,56.38,27.9,8.1,58151
Jan-19,8.3,0.04,NaN,0.11,59.07,26,8.9,16674
Feb-19,8.8,0.02,0.05,0.07,19.11,26.6,8,29659
Mar-19,8.2,0.29,0.05,0.08,34.75,27,6.9,1322
Apr-19,8.9,0.086,0.05,0.133,89.31,27,7.8,2458
May-19,9,0.207,0.05,0.134,749.47,27,10.1,94992
Jun-19,9.4,0.112,0.05,0.298,222.22,33,10.4,186554
Jul-19,8.2,0.271,0.072,0.329,142.99,28.4,5.7,14010
Aug-19,7.8,0.36,0.223,0.12,25.11,26,6.5,3991
Sep-19,8,0.051,0.618,0.122,27.11,25,6.5,5447
Oct-19,8.5,0.143,0.05,0.161,8.94,30.2,6.6,2298
Nov-19,8.5,0.18,0.05,0.091,13.03,31,7.1,8006
Dec-19,7.8,0.012,0.185,0.059,5.73,27,6.9,1029
