Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
Jan-16,8.2,NaN,NaN,NaN,32.49,28,7.2,5006
Feb-16,8,0.057,0.357,0.059,140.74,26,7.9,8755
Mar-16,8.3,0.264,0.176,0.004,105.98,25,8.4,28614
Apr-16,8.5,0.085,0.046,0.071,50.39,29.5,8.3,9835
May-16,8.7,0.081,0.009,0.037,41.7,31,8.4,5379
Jun-16,9.3,0.092,0.05,0.181,46.39,32,8.3,47649
Jul-16,9.5,0.015,0.574,0.179,52.21,32,9.7,20652
Aug-16,8.9,0.181,0.271,0.001,65.63,29,6.8,54790
Sep-16,9,0.048,0.022,0.011,47.95,27,9,18458
Oct-16,9.2,0.045,0.035,0.016,52.47,27,10,21593
Nov-16,NaN,0.32,0.255,0.051,79.06,26,7.2,5921
Dec-16,7.9,0.024,0.141,0.122,71.56,28,7.6,11879
Jan-17,8,0.001,0.343,0.084,55.61,25.5,7.7,11434
Feb-17,7.9,0.572,0.44,0.173,50.56,25,7.6,2896
Mar-17,8.4,0.1,0.197,0.049,73.97,28,9.4,21964
Apr-17,7.8,0.038,0.021,0.156,82.7,27.4,7.2,5819
May-17,6.3,0.008,0.001,0.062,41.35,36,7.7,1359
Jun-17,8.2,0.02,0.001,0.165,69.85,31,7.1,33403
Jul-17,7.9,0.07,0.52,0.17,32.58,30.5,6.9,52753
Aug-17,8.6,0.089,0.184,0.105,113.28,30,9.6,9404
Sep-17,8.7,0.003,0.001,0.099,286.77,31,9.5,47093
Oct-17,8.3,0.037,0.06,0.008,106.68,29.5,8.4,12769
Nov-17,7.9,0.059,0.137,0.031,35.62,27.5,8.6,7356
Dec-17,7.9,0.016,0.032,0.022,60.7,28,8.5,14536
Jan-18,7.7,0.529,0.411,0.095,64.63,26.8,8.1,4203
Feb-18,8,0.043,0.392,0.132,45.26,26,8.5,2150
Mar-18,8.3,0.062,0.259,0.138,81.92,28,8.4,3971
Apr-18,8.1,0.008,0.05,0.104,85.31,28,8.1,2981
May-18,8.1,0.045,0.05,0.104,15.98,30.5,7.5,5390
Jun-18,9.6,0.036,0.05,0.089,112.07,34.5,15.8,9768
Jul-18,9.1,0.055,0.05,0.087,71.56,29.3,8.3,18490
Aug-18,8.7,0.036,0.057,0.102,31.62,30.5,6.8,52172
Sep-18,8.7,0.061,0.05,0.062,63.07,30,9.5,9039
Oct-18,8.5,0.031,0.05,0.117,34.05,30.7,7.6,63187
Nov-18,8.4,0.017,0.05,0.077,93.56,28.7,7.3,40817
Dec-18,8.5,0.011,0.054,0.079,22.24,27.8,7.7,8938
Jan-19,7.5,0.06,NaN,0.11,32.03,20,7.7,2737
Feb-19,8.3,0.03,0.16,0.07,8.43,25,7.9,8747
Mar-19,8.2,0.03,0.05,0.05,26.93,23,8.1,2558
Apr-19,8.4,0.018,0.05,0.051,53.66,28.7,7.5,23
May-19,8.7,0.271,0.05,0.108,124.84,29,5.9,6683
Jun-19,9.1,0.073,0.05,0.195,68.63,32,7.2,40761
Jul-19,9.1,0.045,0.033,0.131,144.21,29,8.9,43760
Aug-19,8.3,0.077,0.05,0.088,29.02,28.2,7.8,9612
Sep-19,8.5,0.067,0.1,0.039,15.55,29,6.8,2898
Oct-19,8.8,0.062,0.05,0.061,9.29,32,7.5,2342
Nov-19,8.9,0.04,0.05,0.053,6.77,30.5,8.6,3604
Dec-19,7.8,0.021,0.115,0.063,7.82,25,6.9,2311
Jan-20,8.2,0.113,0.348,0.062,65.59,26.6,7.6,2323
Feb-20,8.2,0.048,0.239,0.061,44.65,26,7.7,54353
Mar-20,8.7,0.067,0.05,0.095,73.67,26,8.2,26595
Apr-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jun-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jul-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aug-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
