Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
Jan-16,7.8,NaN,NaN,NaN,15.72,28,7.4,4702
Feb-16,7.8,0.036,0.335,0.063,93.82,27,8.5,2649
Mar-16,8.1,0.019,0.355,0.006,74.71,26,7.6,10580
Apr-16,8.7,0.129,0.039,0.104,39.96,29.5,8.6,63490
May-16,8.3,0.05,0.002,0.103,53.86,31.5,6.8,28158
Jun-16,9.6,0.051,0.051,0.149,82.36,31,9.5,90969
Jul-16,9.8,0.034,0.031,0.147,94.03,32,15.9,66686
Aug-16,8.6,0.183,0.142,0.014,76.45,28,7.3,95082
Sep-16,9.6,0.073,0.058,0.039,251.94,27,13.5,38893
Oct-16,8.9,0.034,0.046,0.07,110.24,27,8.9,4751
Nov-16,NaN,0.052,0.545,0.251,77.14,26,7.4,83431
Dec-16,8.4,0.027,0.001,0.165,50.39,28,7.7,42253
Jan-17,8.3,0.001,0.149,0.072,58.21,25.7,8.1,22330
Feb-17,7.9,0.091,1.412,0.161,67.59,26,7.3,2423
Mar-17,8,0.033,0.372,0.088,62.46,28,8.4,17402
Apr-17,7.8,0.03,0.144,0.143,58.29,27,6.9,329473
May-17,8.7,0.026,0.001,0.067,35.88,36,8.4,75663
Jun-17,8.3,0.027,0.022,0.252,78.53,30,8.1,42630
Jul-17,8.6,0.053,0.032,0.31,103.29,31,9,16764
Aug-17,9.1,0.047,0.016,0.098,173.23,32,13.1,11075
Sep-17,9.3,0.012,0.001,0.128,236.21,30,17.2,408535
Oct-17,8,0.022,0.212,0.178,45.35,30,7.6,25628
Nov-17,7.7,0.045,0.453,0.167,42.29,27.5,6.5,1673
Dec-17,7.7,0.091,0.617,0.252,124.84,29,6.5,487
Jan-18,7.9,0.029,0.389,0.147,44.13,27.2,8.1,2490
Feb-18,8.1,0.011,0.513,0.205,14.36,26.5,8.3,445
Mar-18,8.2,0.015,0.326,0.173,68.4,28,8.1,1690
Apr-18,8.2,0.025,0.05,0.15,83.14,27,8,1139
May-18,8.1,0.08,0.05,0.184,11.21,30,7,31361
Jun-18,8.8,0.011,0.05,0.184,11.21,33,8.3,1815
Jul-18,9.4,0.001,0.05,0.104,121.2,29.6,9,31830
Aug-18,9.1,0.061,0.004,0.19,46.74,33,8.5,34713
Sep-18,8.7,0.066,0.504,0.137,65.59,28.5,8.8,67993
Oct-18,8.6,0.023,0.05,0.146,32.58,30.4,6.6,45950
Nov-18,8.7,0.015,0.05,0.08,83.66,28.5,7.2,111014
Dec-18,8.4,0.028,0.053,0.075,47.78,26.7,8.1,11633
Jan-19,7.8,0.08,NaN,0.11,63.58,20,7.9,1824
Feb-19,8.4,0.02,0.05,0.06,6.43,26,7.5,6983
Mar-19,8.3,0.04,0.05,0.06,27.8,23,8,617
Apr-19,8.2,0.017,0.05,0.093,38.22,29,7.3,443
May-19,8.4,0.065,0.05,0.109,69.06,29,6.6,1055
Jun-19,9.2,0.044,0.05,0.252,59.16,31,10.6,8456
Jul-19,8.3,0.04,0.034,0.318,122.49,29,7.1,9103
Aug-19,8.3,0.071,0.05,0.189,28.06,29.7,7.3,6396
Sep-19,8.1,0.065,0.342,0.089,13.64,27,6.4,1498
Oct-19,8.5,0.051,0.423,0.113,1.48,32,7.9,10
Nov-19,8.8,0.209,0.05,0.133,7.73,30.5,8.8,3779
Dec-19,8.2,0.038,0.114,0.088,1.82,27,6.9,143
Jan-20,7.9,0.118,0.232,0.067,41.44,26.5,7.5,64047
Feb-20,8.2,0.113,0.05,0.071,36.05,26,7,49106
Mar-20,8.6,0.083,0.05,0.032,90.78,26,7.7,4570
Apr-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jun-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jul-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aug-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sep-20,8.3,0.06,0.05,0.074,105.55,31,5.6,72148
Oct-20,8.8,0.025,0.781,0.097,54.91,30,7.8,101097
Nov-20,8.4,0.005,NaN,0.027,314.31,29,8.3,114303
Dec-20,8.2,0.005,NaN,0.064,38.23,29,8.3,7251
Jan-21,8.2,0.019,NaN,0.078,37.96,36,7.5,6016
Feb-21,7.9,0.035,NaN,0.053,64.64,26,8,22567
Mar-21,8.3,0.005,NaN,0.06,46.3,27,7.2,34372
Apr-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May-21,8.4,NaN,0.05,0.102,64.03,30,7,31582
Jun-21,9,NaN,0.05,0.086,258.19,31,7.2,970217
Jul-21,8.5,0.04,0.124,0.151,88.96,30,7.1,28231
Aug-21,8.3,0.03,0.31,0.13,100.43,29,7.2,18030
Sep-21,9.1,0.03,0.31,0.09,777.53,31,7.9,550846
Oct-21,7.8,0.01,0.05,0.14,101.9,30,7.3,31565
Nov-21,7.9,0.005,0.18,0.18,34.84,28,7.2,10811
Dec-21,8.2,0.01,0.38,0.18,92.26,27,7.4,6487
Jan-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Feb-22,8.2,0.265,0.527,0.21,105.47,28,7.4,405663
Mar-22,8,0.04,0.01,0.14,56.64,27.6,7,8220
Apr-22,8.3,0.02,0.05,0.15,42.13,27,7.3,15256
May-22,8.4,0.01,0.01,0.16,59.51,31,7.8,20060
Jun-22,9.1,0.01,0.01,0.25,67.85,30,8.6,50681
Jul-22,9.4,0.04,0.005,0.33,152.9,32,10.6,119153
Aug-22,8.9,0.06,0.05,0.28,447.41,31,11,811156
Sep-22,7.8,0.01,0.37,0.15,79.58,30,6.9,22343
Oct-22,7.7,0.005,0.58,0.15,22.41,27,6.3,126
Nov-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dec-22,7.8,0.005,0.48,0.13,24.5,27,7.3,1873
Jan-23,7.8,0.005,0.808,0.188,18.5,26,8.1,639
Feb-23,7.8,0.4,0.81,0.19,33.19,28,7.7,1899
Mar-23,8,0.005,0.69,0.25,41.79,26,7.8,8686
Apr-23,7.9,0.005,1,0.27,47,28,7.2,2802
May-23,8.4,0.01,0.26,0.26,73.41,30,7.4,4758
Jun-23,8.6,0.005,0.05,0.22,15.38,30,8.2,709
Jul-23,8.5,0,0,0.23,37.36,30,6.8,37540
Aug-23,8.2,0.01,0.6,0.17,81.4,27,6.8,12288
Sep-23,8.5,0,0.2,0.14,48.33,30,7.6,30586
Oct-23,8.6,0.01,0.1,0.5,5.56,28,7,10293
Nov-23,8.1,0.05,0,0.41,45.52,28,7,11530
Dec-23,8.2,NaN,0,0.1,13.29,28,8,1315
Jan-24,8.2,NaN,0,0.098,NaN,NaN,8,NaN
Feb-24,8.4,0.14,0,0.08,NaN,NaN,7,NaN
Mar-24,8.4,0.2,0,0.77,NaN,NaN,8,NaN
Apr-24,8.1,0.06,0,0.09,NaN,NaN,7.2,NaN
May-24,8.6,0,0,0.071,NaN,NaN,7.8,NaN
Jun-24,9.4,0.02,0.2,0.06,NaN,NaN,10,NaN
Jul-24,9.1,0,0,0.14,NaN,NaN,8,NaN
Aug-24,8.8,0.04,0,0.18,NaN,NaN,8,NaN
Sep-24,8.7,0,0.2,0.018,NaN,NaN,9,NaN
Oct-24,6,0.2,0.2,0.014,NaN,NaN,6,NaN
Nov-24,6,0.09,0.4,0.015,NaN,NaN,6,NaN
Dec-24,7,0.2,0,0.022,NaN,NaN,7,NaN
