Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
Jan-16,8.7,NaN,NaN,NaN,75.32,28,7,16989
Feb-16,8,0.018,0.715,0.135,100.77,27,7,880
Mar-16,8,0.133,0.103,0.037,85.14,26,7.1,6442
Apr-16,8.9,0.083,0.09,0.102,53.05,29,7.5,563
May-16,8.2,0.349,0.06,0.164,283.21,31,7.1,115840
Jun-16,9,0.336,0.07,0.19,64.81,33,9.5,11845
Jul-16,8.9,0.067,0.11,0.048,54.9,30,6.3,2026
Aug-16,8.5,0.12,0.313,0.306,30.32,30,6.6,21919
Sep-16,8,0.029,1.084,0.145,82.88,28,7.8,1163
Oct-16,7.8,0.236,0.46,0.13,39,28,6.3,4861
Nov-16,NaN,0.048,0.04,0.26,69.5,28,7.5,610
Dec-16,8.4,0.012,0.04,0.18,43.26,29,6.8,50101
Jan-17,8.1,0.001,0.344,0.181,43.96,27.5,8.5,1468
Feb-17,8.4,0.074,2.631,0.163,52.65,28,9,1589
Mar-17,7.9,0.046,0.373,0.098,92.35,28,9,506
Apr-17,7.9,0.048,0.154,0.174,70.11,28,6.3,88325
May-17,7.6,0.404,0.162,0.427,84.98,38,5.5,102077
Jun-17,8.1,0.028,0.238,0.359,123.54,32,9.7,10344
Jul-17,7.7,0.844,0.045,0.37,508.91,32,8.6,73214
Aug-17,8.8,0.025,0.001,0.087,73.41,31,11,15769
Sep-17,7.9,0.089,0.001,0.241,80.97,31,7.7,4906
Oct-17,8.4,0.032,0.231,0.218,285.82,29,9.3,7763
Nov-17,7.6,0.045,0.451,0.194,28.23,26.5,5.9,609
Dec-17,7.6,0.017,0.132,0.116,54.64,29,5.9,5090
Jan-18,8,0.027,0.478,0.172,57.06,27.6,7.4,1841
Feb-18,8.3,0.036,0.462,0.207,50.13,27,8.7,336
Mar-18,8,0.01,0.05,0.152,137.44,26,9.5,2071
Apr-18,8.4,0.285,0.258,0.268,98.69,27,6.8,4639
May-18,8.7,0.055,0.505,0.245,198.07,31.6,10.6,13756
Jun-18,8.8,0.062,0.05,0.203,152.48,32,10,52914
Jul-18,9,0.002,0.05,0.129,70.37,28.7,7.8,2440
Aug-18,8.6,0.023,0.428,0.136,71.76,28,8.2,4656
Sep-18,8.5,0.001,1.778,0.076,77.92,30,8.5,30782
Oct-18,8.4,0.021,0.05,0.117,35.89,30.5,6.9,22313
Nov-18,8.9,0.015,0.05,0.039,354.88,29.9,10,61823
Dec-18,8.9,0.039,0.174,0.129,62.88,28.2,8,20528
Jan-19,8.5,0.04,NaN,0.09,83.23,27,9,18430
Feb-19,8,0.38,0.32,0.12,15.81,27.7,6.6,14980
