Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO,Phytoplankton
Jan-16,7.7,Nan,Nan,Nan,43.78,28,6.8,817
Feb-16,8,0.006,0.375,0.098,83.4,27,7.5,893
Mar-16,7.8,0.22,0.204,0.001,83.37,25,8,15928
Apr-16,8.5,0.094,0.081,0.084,27.8,30,8.3,102689
May-16,8.3,0.055,0.001,0.077,41.7,31,7.9,1593
Jun-16,9.4,0.054,0.684,0.095,42.74,31,8.9,42249
Jul-16,9,0.031,0.001,0.143,32.14,30,8.1,67576
Aug-16,9.1,0.069,0.028,0.001,89.91,28,7.6,25345
Sep-16,9,0.001,0.109,0.045,55.77,28,8.8,5688
Oct-16,8.7,0.008,0.034,0.066,100.51,28,8.5,23877
Nov-16,Nan,0.032,0.308,0.258,91.13,27,8.1,436578
Dec-16,8.3,0.013,0.238,0.116,23.19,28,7.2,1692
Jan-17,8,0.001,0.335,0.101,35.36,26.2,7.6,10856
Feb-17,7.9,0.065,1.88,0.115,21.11,26,7.8,3027
Mar-17,8.2,0.024,0.24,0.076,75.58,26,9.1,9044
Apr-17,7.8,0.048,0.034,0.253,84.87,27,7.1,29927
May-17,8,0.041,0.001,0.096,22.41,36,7.5,1614
Jun-17,8.4,0.001,0.001,0.092,114.67,33,8.6,19332
Jul-17,8.1,0.047,0.015,0.05,34.58,31.5,8.1,36690
Aug-17,9,0.026,0.001,0.103,103.16,31,11.6,26068
Sep-17,8.7,0.001,0.005,0.168,152.46,31,10.3,31999
Oct-17,9.2,0.061,0.001,0.077,419.43,32,10.8,331017
Nov-17,8.1,0.038,0.216,0.1,32.92,28,7.8,5325
Dec-17,8.1,0.001,0.205,0.119,58.03,30,7.8,5411
Jan-18,7.7,0.011,0.44,0.197,46.39,27,7.6,753
Feb-18,8,0.175,0.565,0.188,48.21,25,7.7,443
Mar-18,8.2,0.016,0.276,0.141,46.22,28,8.2,7899
Apr-18,8.1,0.035,0.05,0.153,52.73,28,7.9,3592
May-18,8.3,0.027,0.05,0.13,6.17,31.5,8.3,34177
Jun-18,8.9,0.016,0.235,0.123,20.24,33,9.3,6363
Jul-18,8.8,0.001,0.05,0.805,61.68,29.6,8.1,1110
Aug-18,8.5,0.001,0.073,0.133,21.46,28.5,6.4,44036
Sep-18,8.9,0.001,1.503,0.102,67.03,30.5,9.9,16776
Oct-18,8.5,0.026,0.412,0.096,38.4,31.4,8.4,11791
Nov-18,7.9,0.038,0.073,0.12,58.55,29.2,6.3,9435
Dec-18,8.2,0.027,0.326,0.171,27.72,27.6,6.9,3101
Jan-19,7.6,0.06,Nan,0.19,27.97,27,7.4,1887
Feb-19,8.5,0.02,0.73,0.02,9.55,26.9,8.2,7730
Mar-19,8.2,0.05,0.05,0.05,9.55,27,7.5,1630
Apr-19,8.4,0.02,0.05,0.073,52.12,27,7.4,1254
May-19,8.3,0.117,0.05,0.093,63.24,27,6.2,9829
Jun-19,9.3,0.036,0.05,0.17,58.12,32,8.8,33730
Jul-19,7.1,0.062,0.029,0.178,118.58,29,7.2,7240
Aug-19,8.6,0.035,0.05,0.117,29.19,29,7.4,6707
Sep-19,8.7,0.038,0.05,0.078,41.01,24,8,20158
Oct-19,8.7,0.023,0.05,0.062,5.73,29.6,7,3769
Nov-19,8.7,0.052,0.05,0.095,35.71,32,8,23792
Dec-19,8,0.021,0.151,0.066,9.82,25.5,7.2,3227
Jan-20,8.2,0.058,0.25,0.056,78.54,27,7.6,94422
Feb-20,8.2,0.027,0.146,0.057,47.78,25.8,8.3,23822
Mar-20,8.7,0.034,0.05,0.032,81.32,27,8.2,65307
Apr-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
May-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Jun-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Jul-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
Aug-20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,NaN
