Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO
Jan 2016,8.3,Nan,Nan,Nan,107.03,26.0,8.70
Feb 2016,8.0,0.027,0.538,0.067,116.41,27.0,7.80
Mar 2016,8.1,0.169,0.352,0.03,121.62,26.0,7.60
Apr 2016,8.3,0.088,0.128,0.103,81.66,31.0,8.60
May 2016,8.2,0.074,0.019,0.069,53.12,30.0,6.90
Jun 2016,8.9,0.067,0.77,0.12,61.33,32.0,7.60
Jul 2016,8.1,0.073,0.001,0.176,25.37,31.0,4.0
Aug 2016,8.9,0.07,0.301,0.008,82.70,29.0,6.50
Sep 2016,8.7,0.001,0.069,0.072,66.89,28.0,8.70
Oct 2016,7.6,0.181,0.035,0.089,47.52,28.0,5.90
Nov 2016,Nan,0.155,0.184,0.208,47.87,28.0,6.80
Dec 2016,9.0,0.001,0.028,0.111,15.32,29.0,9.60
Jan 2017,8.6,0.001,0.379,0.108,35.01,28.0,8.20
Feb 2017,8.4,0.034,0.509,0.131,61.85,27.0,8.80
Mar 2017,8.1,0.023,0.205,0.079,96.59,28.0,9.10
Apr 2017,7.8,0.062,0.09,0.268,95.21,27.0,6.90
May 2017,8.3,0.022,0.013,0.02,28.75,36.0,7.90
Jun 2017,8.3,0.025,0.001,0.151,107.38,32.0,8.70
Jul 2017,7.9,0.056,0.019,0.1,63.59,31.50,7.40
Aug 2017,8.7,0.023,0.026,0.107,124.40,30.0,9.80
Sep 2017,8.8,0.001,0.001,0.235,282.43,31.0,10.40
Oct 2017,7.7,0.043,0.217,0.18,67.59,29.50,5.60
Nov 2017,7.7,0.036,0.334,0.111,35.18,27.0,6.20
Dec 2017,7.7,0.007,0.046,0.096,52.30,29.30,6.20
Jan 2018,8.3,0.006,0.396,0.133,56.55,27.20,8.60
Feb 2018,8.7,0.007,0.407,0.174,77.75,28.0,9.70
Mar 2018,8.3,0.017,0.242,0.140,64.81,28.0,8.20
Apr 2018,8.6,0.025,0.050,0.149,65.93,28.0,8.40
May 2018,8.4,0.054,0.050,0.142,9.82,32.30,8.30
Jun 2018,9.7,0.008,0.177,0.144,44.31,31.50,8.20
Jul 2018,8.5,0.001,0.050,0.090,88.18,29.80,7.90
Aug 2018,8.5,0.009,0.161,0.142,9.29,27.50,7.60
Sep 2018,9.0,0.003,4.434,0.078,76.45,31.0,10.60
Oct 2018,8.7,0.017,0.050,0.080,33.97,31.30,8.20
