Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO
Jan 2016,7.9,NaN,NaN,NaN,47.95,28.00,7.7
Feb 2016,8.3,0.014,0.45,0.052,105.99,26.00,8.0
Mar 2016,8.1,0.092,0.192,0.016,74.71,26.00,7.9
Apr 2016,8.6,0.058,0.088,0.089,46.91,30.00,8.3
May 2016,8.1,0.079,0.051,0.066,45.17,31.00,7.5
Jun 2016,9.3,0.047,0.372,0.073,55.97,31.00,8.9
Jul 2016,8.8,0.028,0.001,0.134,46.13,31.00,7.8
Aug 2016,8.9,0.025,0.037,0.005,61.07,28.00,7.3
Sep 2016,9.4,0.005,0.028,0.061,121.62,28.00,12.1
Oct 2016,8.8,0.093,0.091,0.074,78.88,28.00,7.6
Nov 2016,NaN,0.045,0.127,0.244,79.84,27.00,7.9
Dec 2016,8.8,0.013,0.089,0.013,74.88,28.00,7.7
Jan 2017,8.7,0.001,0.19,0.057,73.32,26.50,9.6
Feb 2017,8.1,0.04,2.592,0.145,89.22,26.00,7.7
Mar 2017,8.3,0.023,0.221,0.072,56.12,28.00,8.5
Apr 2017,7.9,0.051,0.004,0.169,96.43,27.00,7.0
May 2017,8.2,0.016,0.001,0.098,12.42,37.00,7.6
Jun 2017,8.5,0.001,0.001,0.132,49.47,33.00,10.2
Jul 2017,8.1,0.048,0.012,0.15,81.92,32.00,8.2
Aug 2017,9.2,0.03,0.001,0.105,193.47,32.00,24.2
Sep 2017,8.3,0.001,0.001,0.252,312.31,31.00,8.7
Oct 2017,8.2,0.031,0.001,0.131,383.81,31.00,7.8
Nov 2017,7.9,0.028,0.264,0.107,44.22,28.00,7.4
Dec 2017,7.9,0.023,0.052,0.104,45.52,29.30,7.4
Jan 2018,8.2,0.006,0.378,0.129,72.63,26.90,8.4
Feb 2018,8.7,0.001,0.352,0.167,21.46,29.00,9.2
Mar 2018,8.0,0.010,0.359,0.168,80.09,28.00,8.2
Apr 2018,8.3,0.011,0.050,0.158,61.42,27.00,7.9
May 2018,8.3,0.041,0.050,0.115,14.33,30.80,7.2
Jun 2018,8.9,0.008,0.137,0.180,10.42,35.00,8.6
Jul 2018,8.9,0.046,0.050,0.088,76.89,29.10,8.0
Aug 2018,8.9,0.050,0.103,0.148,72.43,32.50,7.8
Sep 2018,8.8,0.002,1.289,0.078,99.56,26.00,8.6
Oct 2018,8.7,0.025,0.050,0.134,30.92,30.40,7.5
Nov 2018,8.1,0.016,0.050,0.061,106.98,27.80,6.7
Dec 2018,8.8,0.020,0.070,0.075,41.70,26.60,8.4
Jan 2019,8.1,0.05,NaN,0.05,66.80,21.00,8.2
Feb 2019,9.2,0.05,0.05,0.04,18.59,26.00,8.3
Mar 2019,8.9,0.030,0.05,0.07,5.21,22.00,8.9
Apr 2019,8.1,0.005,0.05,0.065,38.22,28.60,7.3
May 2019,8.6,0.079,0.05,0.076,73.67,29.00,6.6
Jun 2019,9.3,0.028,0.05,0.177,76.79,32.00,8.1
Jul 2019,8.9,0.043,0.079,0.209,124.40,28.50,7.0
Aug 2019,8.5,0.042,0.05,0.123,33.71,28.20,7.7
Sep 2019,8.9,0.05,0.05,0.064,14.69,27.00,7.4
Oct 2019,9.1,0.005,0.05,0.088,4.34,32.00,7.9
Nov 2019,8.7,0.027,0.05,0.089,8.03,30.00,8.4
Dec 2019,8.2,0.012,0.100,0.062,5.82,28.00,7.3
Jan 2020,8.3,0.095,0.241,0.083,43.52,26.60,7.1
Feb 2020,8.4,0.036,0.050,0.050,60.47,26.00,7.7
Mar 2020,8.8,0.040,0.050,0.024,88.35,26.00,7.8
Apr 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jun 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jul 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aug 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sep 2020,8.8,0.005,0.050,0.035,111.11,31.00,9.9
Oct 2020,8.3,0.019,0.050,0.068,70.63,30.00,6.8
Nov 2020,8.0,0.005,NaN,0.043,64.64,28.00,6.7
Dec 2020,8.4,0.005,NaN,0.041,54.82,28.00,8.3
Jan 2021,8.3,0.023,NaN,0.069,59.94,35.00,7.9
Feb 2021,8.0,0.045,NaN,0.054,64.72,25.00,7.7
Mar 2021,8.4,0.005,NaN,0.044,110.24,28.00,8.1
Apr 2021,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May 2021,8.4,NaN,0.050,0.044,96.43,32.00,7.6
Jun 2021,9.0,NaN,0.050,0.078,94.95,33.00,8.3
Jul 2021,8.9,0.022,0.050,0.102,117.28,29.00,8.5
Aug 2021,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sep 2021,9.6,0.070,0.130,0.100,929.30,31.00,9.1
Oct 2021,8.0,0.040,0.050,0.120,77.84,30.00,7.7
