Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO
Jan 2016,8.0,NaN,NaN,NaN,84.35,28.00,7.6
Feb 2016,8.1,0.024,0.283,0.056,97.80,27.00,8.3
Mar 2016,7.8,0.01,0.004,0.007,68.61,25.00,8.5
Apr 2016,8.7,0.068,0.096,0.031,57.33,30.00,8.5
May 2016,9.4,0.056,0.004,0.004,182.44,30.50,10.0
Jun 2016,9.4,0.031,0.798,0.12,97.02,31.00,9.1
Jul 2016,9.6,0.001,0.038,0.001,66.98,31.00,9.4
Aug 2016,8.9,0.256,0.041,0.001,95.47,29.00,6.7
Sep 2016,9.4,0.013,0.031,0.007,115.87,27.00,9.4
Oct 2016,9.0,0.1,0.036,0.021,181.39,27.00,9.3
Nov 2016,NaN,0.049,0.314,0.222,57.34,26.50,6.6
Dec 2016,8.4,0.001,0.248,0.113,81.05,27.00,7.6
Jan 2017,7.8,0.001,0.393,0.066,64.20,25.20,7.7
Feb 2017,7.9,0.033,0.54,0.16,38.74,25.00,7.8
Mar 2017,8.3,0.25,0.001,0.023,80.36,28.00,9.4
Apr 2017,7.8,0.073,0.016,0.29,57.60,27.00,7.4
May 2017,8.3,0.019,0.001,0.071,9.35,36.00,8.4
Jun 2017,9,0.016,0.042,0.155,61.16,33.00,8.6
Jul 2017,8.5,0.059,0.022,0.15,97.13,31.00,9.3
Aug 2017,8.6,0.021,0.02,0.035,73.93,31.00,9.9
Sep 2017,8.4,0.005,0.003,0.041,94.87,32.00,9.7
Oct 2017,8,0.03,0.001,0.036,73.15,29.50,8.5
Nov 2017,8.1,0.021,0.06,0.02,41.00,28.00,8.8
Dec 2017,8.1,0.008,0.006,0.026,58.73,28.50,8.8
Jan 2018,8.1,0.012,0.375,0.133,80.36,27.00,8.4
Feb 2018,8.1,0.001,0.326,0.105,71.58,25.00,8.4
Mar 2018,8.2,0.021,0.050,0.142,62.29,28.00,8.6
Apr 2018,8.4,0.018,0.050,0.113,34.84,27.00,8.3
May 2018,8.3,0.024,0.050,0.090,12.42,30.10,7.9
Jun 2018,9.7,0.005,0.050,0.063,193.21,34.00,16.1
Jul 2018,9.5,0.001,0.050,0.047,134.40,29.70,9.5
Aug 2018,9.2,0.014,0.111,0.041,10.63,32.50,8.8
Sep 2018,8.8,0.014,0.050,0.025,44.13,29.00,9.1
Oct 2018,8.6,0.013,0.050,0.015,42.57,31.80,8.3
Nov 2018,8.3,0.003,0.050,0.023,143.08,28.50,7.6
Dec 2018,8.8,0.023,0.043,0.044,39.27,26.90,8.6
Jan 2019,7.6,0.07,NaN,0.10,43.44,20.00,7.8
Feb 2019,8.2,0.02,0.14,0.05,14.76,26.00,7.9
Mar 2019,8.6,0.02,0.05,0.02,7.29,22.00,8.4
Apr 2019,8.5,0.014,0.05,0.062,56.46,29.50,7.8
May 2019,9.2,0.094,0.05,0.098,127.62,30.00,7.3
Jun 2019,9.2,0.048,0.05,0.169,85.65,32.00,12.1
Jul 2019,9.6,0.038,0.067,0.048,135.09,29.00,10.7
Aug 2019,8.1,0.039,0.05,0.027,26.93,27.80,8.1
Sep 2019,8.6,0.037,0.05,0.019,13.21,28.50,7.7
Oct 2019,8.6,0.005,0.05,0.029,3.04,32.50,7.5
Nov 2019,8.9,0.029,0.05,0.017,12.25,30.00,9.2
Dec 2019,7.8,0.100,0.401,0.044,16.51,25.00,7.5
Jan 2020,7.7,0.040,0.497,0.074,49.95,26.40,7.4
Feb 2020,7.9,0.026,0.434,0.034,62.29,26.00,7.8
Mar 2020,8.6,0.042,0.050,0.017,82.71,26.00,8.2
Apr 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jun 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jul 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aug 2020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sep 2020,8.2,0.016,0.050,0.018,40.83,30.00,6.9
Oct 2020,8.2,0.005,0.050,0.040,63.25,28.50,7.5
Nov 2020,7.7,0.005,NaN,0.061,27.54,27.50,7.9
Dec 2020,8.1,0.013,NaN,0.063,38.92,27.50,7.3
Jan 2021,8.0,0.024,NaN,0.061,76.80,24.00,8.5
Feb 2021,8.2,0.031,NaN,0.057,144.21,25.00,8.4
Mar 2021,8.6,0.005,NaN,0.010,57.86,25.00,8.2
Apr 2021,NaN,NaN,NaN,NaN,NaN,NaN,NaN
May 2021,8.0,NaN,0.050,0.021,139.87,30.00,7.8
Jun 2021,8.9,NaN,0.050,0.043,196.42,27.00,7.7
Jul 2021,9.6,0.026,0.050,0.075,192.25,30.00,8.1
Aug 2021,7.4,0.030,0.240,0.040,131.53,29.00,8.0
Sep 2021,9.2,0.070,0.140,0.010,110.07,27.00,7.9
Oct 2021,7.7,0.020,0.050,0.020,95.04,28.00,7.0
Nov 2021,8.0,0.005,0.050,0.080,115.63,26.00,7.7
Dec 2021,8.2,0.010,0.130,0.120,84.10,27.00,7.7
Jan 2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Feb 2022,8.2,0.168,0.379,0.100,143.52,24.00,7.4
Mar 2022,8.1,0.005,0.005,0.050,77.84,26.50,7.6
Apr 2022,8.2,0.010,0.010,0.090,67.59,28.00,8.1
May 2022,8.5,0.010,0.010,NaN,111.46,29.00,8.2
Jun 2022,9.2,0.020,0.010,NaN,107.81,30.00,8.7
Jul 2022,9.2,0.020,0.005,0.020,154.29,30.00,10.6
Aug 2022,8.9,0.030,0.100,0.020,222.23,29.00,8.6
Sep 2022,8.3,0.060,0.050,0.120,154.64,30.00,9.4
Oct 2022,7.4,0.005,0.050,0.030,140.13,28.00,7.9
Nov 2022,7.0,0.010,0.380,0.080,40.31,30.00,7.2
Dec 2022,7.4,0.230,0.140,0.060,77.67,30.00,7.8
Jan 2023,7.2,0.015,0.050,0.052,7.04,26.00,8.0
Feb 2023,7.6,0.03,0.050,0.110,47.09,23.00,7.8
Mar 2023,7.9,0.005,0.050,0.190,44.31,25.00,7.7
Apr 2023,8.3,0.005,0.05,0.100,127.19,29.00,8.4
May 2023,8.2,0.005,0.05,0.110,105.55,31.00,7.8
Jun 2023,8.3,0.005,0.05,0.090,74.23,31.00,8.2
Jul 2023,8.3,0,0,0.06,23.54,32.00,7.4
Aug 2023,8.1,0.02,0.28,0.11,83.92,28.00,7.5
Sep 2023,8.4,0,0.1,0.13,28.23,32.00,7.4
Oct 2023,8.4,0,0.10,0.20,65.50,30.00,7.0
Nov 2023,8.1,0.00,0.00,0.16,51.78,29.00,7.0
Dec 2023,7.7,NaN,0.00,0.06,46.48,28.00,8.0
Jan 2024,7.8,NaN,0.00,0.077,,,8.0
Feb 2024,8.6,0.040,0.00,0.070,,,8.0
Mar 2024,8.5,0.030,0.00,0.062,,,8.0
Apr 2024,8.5,0.040,0.00,0.040,,,8.0
May 2024,9.1,0.030,0.00,0.054,,,7.2
Jun 2024,7.8,0.060,0.60,0.055,,,7.0
Jul 2024,8.6,0.030,0.00,0.021,,,8.0
Aug 2024,8.1,0.040,0.20,0.740,,,7.0
Sep 2024,8.4,0.008,0.20,0.040,,,9.0
Oct 2024,7.7,0.100,0.00,0.044,,,8.0
Nov 2024,8.4,0.070,0.50,0.050,,,7.0
Dec 2024,8.1,0.090,0.50,0.073,,,7.0
