Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO
Jan 2016,8.2,NaN,NaN,NaN,32.49,28.0,7.20
Feb 2016,8.0,0.057,0.357,0.059,140.74,26.0,7.90
Mar 2016,8.3,0.264,0.176,0.004,105.98,25.0,8.40
Apr 2016,8.5,0.085,0.046,0.071,50.39,29.50,8.30
May 2016,8.7,0.081,0.009,0.037,41.70,31.0,8.40
Jun 2016,9.3,0.092,0.05,0.181,46.39,32.0,8.30
Jul 2016,9.5,0.015,0.574,0.179,52.21,32.0,9.70
Aug 2016,8.9,0.181,0.271,0.001,65.63,29.0,6.80
Sep 2016,9.0,0.048,0.022,0.011,47.95,27.0,9.0
Oct 2016,9.2,0.045,0.035,0.016,52.47,27.0,10.0
Nov 2016,NaN,0.32,0.255,0.051,79.06,26.0,7.20
Dec 2016,7.9,0.024,0.141,0.122,71.56,28.0,7.60
Jan 2017,8,0.001,0.343,0.084,55.61,25.50,7.70
Feb 2017,7.9,0.572,0.44,0.173,50.56,25.0,7.60
Mar 2017,8.4,0.1,0.197,0.049,73.97,28.0,9.40
Apr 2017,7.8,0.038,0.021,0.156,82.70,27.40,7.20
May 2017,6.3,0.008,0.001,0.062,41.35,36.0,7.70
Jun 2017,8.2,0.02,0.001,0.165,69.85,31.0,7.10
Jul 2017,7.9,0.07,0.52,0.17,32.58,30.50,6.90
Aug 2017,8.6,0.089,0.184,0.105,113.28,30.0,9.60
Sep 2017,8.7,0.003,0.001,0.099,286.77,31.0,9.50
Oct 2017,8.3,0.037,0.06,0.008,106.68,29.50,8.40
Nov 2017,7.9,0.059,0.137,0.031,35.62,27.50,8.60
Dec 2017,7.9,0.016,0.032,0.022,60.70,28.0,8.50
Jan 2018,7.7,0.529,0.411,0.095,64.63,26.80,8.10
Feb 2018,8.0,0.043,0.392,0.132,45.26,26.0,8.50
Mar 2018,8.3,0.062,0.259,0.138,81.92,28.0,8.40
Apr 2018,8.1,0.008,0.050,0.104,85.31,28.0,8.10
May 2018,8.1,0.045,0.050,0.104,15.98,30.50,7.50
Jun 2018,9.6,0.036,0.050,0.089,112.07,34.50,15.80
Jul 2018,9.1,0.055,0.050,0.087,71.56,29.30,8.30
Aug 2018,8.7,0.036,0.057,0.102,31.62,30.50,6.80
Sep 2018,8.7,0.061,0.050,0.062,63.07,30.0,9.50
