Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO
1/1/2016,7.8,NaN,NaN,NaN,15.72,28.0,7.4
2/1/2016,7.8,0.036,0.335,0.063,93.82,27.0,8.5
3/1/2016,8.1,0.019,0.355,0.006,74.71,26.0,7.6
4/1/2016,8.7,0.129,0.039,0.104,39.96,29.5,8.6
5/1/2016,8.3,0.05,0.002,0.103,53.86,31.5,6.8
6/1/2016,9.6,0.051,0.051,0.149,82.36,31.0,9.5
7/1/2016,9.8,0.034,0.031,0.147,94.03,32.0,15.9
8/1/2016,8.6,0.183,0.142,0.014,76.45,28.0,7.3
9/1/2016,9.6,0.073,0.058,0.039,251.94,27.0,13.5
10/1/2016,8.9,0.034,0.046,0.07,110.24,27.0,8.9
11/1/2016,NaN,0.052,0.545,0.251,77.14,26.0,7.4
12/1/2016,8.4,0.027,0.001,0.165,50.39,28.0,7.7
1/1/2017,8.3,0.001,0.149,0.072,58.21,25.7,8.1
2/1/2017,7.9,0.091,1.412,0.161,67.59,26.0,7.3
3/1/2017,8,0.033,0.372,0.088,62.46,28.0,8.4
4/1/2017,7.8,0.03,0.144,0.143,58.29,27.0,6.9
5/1/2017,8.7,0.026,0.001,0.067,35.88,36.0,8.4
6/1/2017,8.3,0.027,0.022,0.252,78.53,30.0,8.1
7/1/2017,8.6,0.053,0.032,0.31,103.29,31.0,9.0
8/1/2017,9.1,0.047,0.016,0.098,173.23,32.0,13.1
9/1/2017,9.3,0.012,0.001,0.128,236.21,30.0,17.2
10/1/2017,8,0.022,0.212,0.178,45.35,30.0,7.6
11/1/2017,7.7,0.045,0.453,0.167,42.29,27.5,6.5
12/1/2017,7.7,0.091,0.617,0.252,124.84,29.0,6.5
1/1/2018,7.9,0.029,0.389,0.147,44.13,27.2,8.1
2/1/2018,8.1,0.011,0.513,0.205,14.36,26.5,8.3
3/1/2018,8.2,0.015,0.326,0.173,68.40,28.0,8.1
4/1/2018,8.2,0.025,0.050,0.150,83.14,27.0,8.0
5/1/2018,8.1,0.080,0.050,0.184,11.21,30.0,7.0
6/1/2018,8.8,0.011,0.050,0.184,11.21,33.0,8.3
7/1/2018,9.4,0.001,0.050,0.104,121.20,29.6,9.0
8/1/2018,9.1,0.061,0.004,0.190,46.74,33.0,8.5
9/1/2018,8.7,0.066,0.504,0.137,65.59,28.5,8.8
10/1/2018,8.6,0.023,0.050,0.146,32.58,30.4,6.6
11/1/2018,8.7,0.015,0.050,0.080,83.66,28.5,7.2
12/1/2018,8.4,0.028,0.053,0.075,47.78,26.7,8.1
1/1/2019,7.8,0.08,NaN,0.11,63.58,20.0,7.9
2/1/2019,8.4,0.02,0.05,0.06,6.43,26.0,7.5
3/1/2019,8.3,0.04,0.05,0.06,27.80,23.0,8.0
