Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO
Jan 2016,8.7,NaN,NaN,NaN,75.32,28.0,7.0
Feb 2016,8.0,0.018,0.715,0.135,100.77,27.0,7.0
Mar 2016,8.0,0.133,0.103,0.037,85.14,26.0,7.1
Apr 2016,8.9,0.083,0.09,0.102,53.05,29.0,7.5
May 2016,8.2,0.349,0.06,0.164,283.21,31.0,7.1
Jun 2016,9.0,0.336,0.07,0.190,64.81,33.0,9.5
Jul 2016,8.9,0.067,0.11,0.048,54.9,30.0,6.3
Aug 2016,8.5,0.12,0.313,0.306,30.32,30.0,6.6
Sep 2016,8.0,0.029,1.084,0.145,82.88,28.0,7.8
Oct 2016,7.8,0.236,0.46,0.13,39.00,28.0,6.3
Nov 2016,NaN,0.048,0.04,0.26,69.50,28.0,7.5
Dec 2016,8.4,0.012,0.04,0.18,43.26,29.0,6.8
Jan 2017,8.1,0.001,0.344,0.181,43.96,27.5,8.5
Feb 2017,8.4,0.074,2.631,0.163,52.65,28.0,9.0
Mar 2017,7.9,0.046,0.373,0.098,92.35,28.0,9.0
Apr 2017,7.9,0.048,0.154,0.174,70.11,28.0,6.3
May 2017,7.6,0.404,0.162,0.427,84.98,38.0,5.5
Jun 2017,8.1,0.028,0.238,0.359,123.54,32.0,9.7
Jul 2017,7.7,0.844,0.045,0.37,508.91,32.0,8.6
Aug 2017,8.8,0.025,0.001,0.087,73.41,31.0,11.0
Sep 2017,7.9,0.089,0.001,0.241,80.97,31.0,7.7
Oct 2017,8.4,0.032,0.231,0.218,285.82,29.0,9.3
Nov 2017,7.6,0.045,0.451,0.194,28.23,26.5,5.9
Dec 2017,7.6,0.017,0.132,0.116,54.64,29.0,5.9
Jan 2018,8,0.027,0.478,0.172,57.06,27.6,7.4
Feb 2018,8.3,0.036,0.462,0.207,50.13,27.0,8.7
Mar 2018,8,0.01,0.05,0.152,137.44,26.0,9.5
Apr 2018,8.4,0.285,0.258,0.268,98.69,27.0,6.8
May 2018,8.7,0.055,0.505,0.245,198.07,31.6,10.6
Jun 2018,8.8,0.062,0.05,0.203,152.48,32.0,10.0
Jul 2018,9,0.002,0.05,0.129,70.37,28.7,7.8
Aug 2018,8.6,0.023,0.428,0.136,71.76,28.0,8.2
Sep 2018,8.5,0.001,1.778,0.076,77.92,30.0,8.5
Oct 2018,8.4,0.021,0.05,0.117,35.89,30.5,6.9
Nov 2018,8.9,0.015,0.05,0.039,354.88,29.9,10.0
Dec 2018,8.9,0.039,0.174,0.129,62.88,28.2,8.0
Jan 2019,8.5,0.04,NaN,0.09,83.23,27.0,9.0
Feb 2019,8,0.38,0.32,0.12,15.81,27.7,6.6
Mar 2019,8.1,0.14,0.05,0.11,26.93,29.0,7.3
Apr 2019,8.4,0.042,0.05,0.124,52.73,28.0,7.3
May 2019,8.7,0.655,0.205,0.288,155.94,28.0,8.8
