Date,pH,Ammonia,Nitrate,Phosphate,Chlorophyll-a,Temperature,DO
Jan 2016,7.7,Nan,Nan,Nan,43.78,28.0,6.80
Feb 2016,8.0,0.006,0.375,0.098,83.40,27.0,7.50
Mar 2016,7.8,0.22,0.204,0.001,83.37,25.0,8.0
Apr 2016,8.5,0.094,0.081,0.084,27.80,30.0,8.30
May 2016,8.3,0.055,0.001,0.077,41.70,31.0,7.90
Jun 2016,9.4,0.054,0.684,0.095,42.74,31.0,8.90
Jul 2016,9.0,0.031,0.001,0.143,32.14,30.0,8.10
Aug 2016,9.1,0.069,0.028,0.001,89.91,28.0,7.60
Sep 2016,9.0,0.001,0.109,0.045,55.77,28.0,8.80
Oct 2016,8.7,0.008,0.034,0.066,100.51,28.0,8.50
Nov 2016,Nan,0.032,0.308,0.258,91.13,27.0,8.10
Dec 2016,8.3,0.013,0.238,0.116,23.19,28.0,7.20
Jan 2017,8,0.001,0.335,0.101,35.36,26.20,7.60
Feb 2017,7.9,0.065,1.88,0.115,21.11,26.0,7.80
Mar 2017,8.2,0.024,0.24,0.076,75.58,26.0,9.10
Apr 2017,7.8,0.048,0.034,0.253,84.87,27.0,7.10
May 2017,8,0.041,0.001,0.096,22.41,36.0,7.50
Jun 2017,8.4,0.001,0.001,0.092,114.67,33.0,8.60
Jul 2017,8.1,0.047,0.015,0.05,34.58,31.50,8.10
Aug 2017,9,0.026,0.001,0.103,103.16,31.0,11.60
Sep 2017,8.7,0.001,0.005,0.168,152.46,31.0,10.30
Oct 2017,9.2,0.061,0.001,0.077,419.43,32.0,10.80
Nov 2017,8.1,0.038,0.216,0.1,32.92,28.0,7.80
Dec 2017,8.1,0.001,0.205,0.119,58.03,30.0,7.80
Jan 2018,7.7,0.011,0.440,0.197,46.39,27.0,7.60
Feb 2018,8.0,0.175,0.565,0.188,48.21,25.0,7.70
Mar 2018,8.2,0.016,0.276,0.141,46.22,28.0,8.20
Apr 2018,8.1,0.035,0.050,0.153,52.73,28.0,7.90
May 2018,8.3,0.027,0.050,0.130,6.17,31.50,8.30
Jun 2018,8.9,0.016,0.235,0.123,20.24,33.0,9.30
Jul 2018,8.8,0.001,0.050,0.805,61.68,29.60,8.10
Aug 2018,8.5,0.001,0.073,0.133,21.46,28.50,6.40
Sep 2018,8.9,0.001,1.503,0.102,67.03,30.50,9.90
Oct 2018,8.5,0.026,0.412,0.096,38.40,31.40,8.40
Nov 2018,7.9,0.038,0.073,0.120,58.55,29.20,6.30
Dec 2018,8.2,0.027,0.326,0.171,27.72,27.60,6.90
Jan 2019,7.6,0.06,Nan,0.19,27.97,27.0,7.40
Feb 2019,8.5,0.02,0.73,0.02,9.55,26.90,8.20
Mar 2019,8.2,0.05,0.05,0.05,9.55,27.0,7.50
Apr 2019,8.4,0.02,0.05,0.073,52.12,27.0,7.40
May 2019,8.3,0.117,0.05,0.093,63.24,27.0,6.20
Jun 2019,9.3,0.036,0.05,0.170,58.12,32.0,8.80
Jul 2019,7.1,0.062,0.029,0.178,118.58,29.0,7.20
Aug 2019,8.6,0.035,0.05,0.117,29.19,29.0,7.40
Sep 2019,8.7,0.038,0.05,0.078,41.01,24.0,8.0
Oct 2019,8.7,0.023,0.05,0.062,5.73,29.60,7.0
Nov 2019,8.7,0.052,0.05,0.095,35.71,32.0,8.0
Dec 2019,8.0,0.021,0.151,0.066,9.82,25.50,7.20
Jan 2020,8.2,0.058,0.250,0.056,78.54,27.0,7.60
Feb 2020,8.2,0.027,0.146,0.057,47.78,25.80,8.30
Mar 2020,8.7,0.034,0.050,0.032,81.32,27.0,8.20
Apr 2020,Nan,Nan,Nan,Nan,Nan,Nan,Nan
May 2020,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Jun 2020,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Jul 2020,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Aug 2020,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Sep 2020,8.8,0.014,0.050,0.037,37.10,31.20,9.30
Oct 2020,8.7,0.019,0.050,0.044,58.99,31.30,7.30
Nov 2020,8.0,0.005,Nan,0.042,38.49,23.0,6.50
Dec 2020,8.5,0.005,Nan,0.029,79.32,23.0,8.70
Jan 2021,8.2,0.023,Nan,0.071,68.63,26.0,8.0
Feb 2021,8.0,0.042,Nan,0.044,90.18,26.0,8.40
Mar 2021,8.4,0.042,Nan,0.051,43.26,28.0,8.30
Apr 2021,Nan,Nan,Nan,Nan,Nan,Nan,Nan
May 2021,8.2,Nan,0.050,0.051,61.51,32.0,7.70
Jun 2021,8.9,Nan,0.050,0.695,341.68,28.0,8.10
Jul 2021,8.8,0.030,0.050,0.084,63.33,31.0,7.80
Aug 2021,8.7,0.030,0.050,0.050,148.12,29.0,7.40
Sep 2021,8.9,0.030,0.270,0.080,425.51,29.0,8.0
Oct 2021,7.7,0.010,0.050,0.100,32.67,29.0,7.60
Nov 2021,8.1,0.005,0.050,0.150,45.78,28.0,7.50
Dec 2021,8.3,0.011,0.305,0.180,42.57,28.0,7.90
Jan 2022,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Feb 2022,8.4,0.211,0.431,0.069,126.66,26.0,7.70
Mar 2022,8.2,0.010,0.005,0.100,43.52,26.50,7.60
Apr 2022,8.1,0.030,0.010,0.140,40.57,29.0,7.70
May 2022,8.2,0.020,0.020,0.130,36.05,30.0,7.50
Jun 2022,8.8,0.010,0.220,0.200,51.08,30.0,7.90
Jul 2022,9.2,0.500,0.005,0.280,51.86,31.0,7.60
Aug 2022,8.8,0.020,0.100,0.220,105.29,30.0,8.10
Sep 2022,6.8,0.040,0.010,0.150,105.47,30.0,9.10
Oct 2022,8.1,0.005,0.110,0.090,93.30,29.0,7.40
Nov 2022,7.7,0.005,0.640,0.110,55.69,30.0,7.80
Dec 2022,7.1,0.005,0.450,0.140,21.63,31.0,7.10
Jan 2023,7.8,0.016,0.576,0.149,18.94,26.0,8.10
Feb 2023,7.9,0.03,0.690,0.210,37.79,28.0,7.80
Mar 2023,8.0,0.005,0.690,0.260,47.43,26.0,7.60
Apr 2023,8.2,0.005,1.00,0.240,80.36,29.0,7.60
May 2023,8.6,0.005,0.270,0.250,98.86,32.0,9.10
Jun 2023,8.2,0.050,0.050,0.200,28.06,31.0,7.10
Jul 2023,8.5,0.03,0,0.18,5.30,33.0,6.90
Aug 2023,8.3,0,0.110,0.15,37.70,29.0,7.60
Sep 2023,8.4,0,0.100,0.12,26.15,31.0,7.50
Oct 2023,8.2,0.03,0.200,0.40,45.0,30.0,7.0
Nov 2023,8.3,0.04,0.00,0.35,33.45,30.0,8.0
Dec 2023,8.3,Nan,0.00,0.09,39.27,29.0,8.0
Jan 2024,8.2,Nan,0.00,0.081,Nan,Nan,8.0
Feb 2024,8.6,0.050,0.00,0.800,Nan,Nan,8.0
Mar 2024,8.7,0.050,0.00,0.070,Nan,Nan,8.0
Apr 2024,8.4,0.050,0.00,0.066,Nan,Nan,8.0
May 2024,8.6,0.030,0.00,0.071,Nan,Nan,7.70
Jun 2024,8.4,0.040,0.10,0.075,Nan,Nan,7.0
Jul 2024,9.0,0.010,0.00,0.140,Nan,Nan,7.0
Aug 2024,8.8,0.030,0.00,0.430,Nan,Nan,8.0
Sep 2024,8.8,0.000,0.00,0.039,Nan,Nan,9.0
Oct 2024,8.3,0.070,0.200,0.011,Nan,Nan,8.0
Nov 2024,7.6,0.040,0.500,0.050,Nan,Nan,7.0
Dec 2024,8.2,0.090,0.400,0.052,Nan,Nan,8.0
